Call,Time,Duration of calls
2737,28,6
6710,42,6
9332,85,4
6183,121,6
8297,157,4
6877,165,5
3517,166,5
3131,169,8
9688,170,6
9344,177,5
8157,182,5
4587,191,4
4500,191,6
5345,193,5
4328,194,6
8633,195,5
6177,198,4
768,199,6
5498,206,5
3754,207,5
5856,208,5
9117,211,6
5429,211,4
3168,212,5
86,213,5
2387,215,2
598,220,6
2682,228,4
5401,229,6
533,236,4
2283,236,5
1860,237,4
7928,240,7
7668,241,5
9426,241,6
7710,247,5
1560,247,5
3997,249,6
984,251,5
7256,256,5
547,256,5
2201,256,5
2663,258,5
6443,260,5
6607,260,6
3731,260,7
5218,263,6
1064,264,6
607,265,7
7281,265,5
5727,268,7
5166,269,5
8708,272,5
4442,274,5
6525,275,3
6809,275,5
2022,275,5
5006,276,5
6035,277,5
9023,279,4
879,279,5
2520,279,4
9764,280,4
2053,280,5
4678,281,5
4601,281,5
2531,282,5
1876,282,6
8754,284,5
677,285,6
7972,285,5
5929,285,5
176,286,5
1881,286,4
1352,287,6
2626,288,6
4496,288,6
4953,288,6
1239,288,5
7243,288,6
454,288,6
381,289,6
118,289,4
317,289,5
7126,290,6
2611,291,5
8768,291,7
1636,294,5
9703,294,6
9547,294,5
1297,296,4
7903,297,4
3346,298,5
7313,298,4
7902,298,4
1929,298,4
239,299,7
6898,299,4
674,300,5
939,300,5
6987,301,8
44,302,7
8102,302,4
7563,304,5
610,305,4
8565,305,6
5021,306,4
7481,306,6
7336,306,6
7853,307,5
1070,307,7
9761,307,6
6151,308,5
7034,310,4
4304,311,5
7437,312,6
3733,313,6
51,313,5
4379,314,6
8146,314,4
5664,315,6
3250,315,7
169,317,6
880,317,6
7455,318,4
8881,320,4
5821,320,5
255,321,5
6105,321,4
9817,321,6
8215,321,6
7025,321,6
3389,322,5
5642,322,5
7830,322,6
192,323,3
3751,324,5
3830,324,6
3913,325,6
3363,326,4
8186,326,4
906,326,5
1456,326,5
6071,327,5
1032,328,6
1031,328,5
3927,328,5
7293,328,4
2470,328,5
7471,328,7
655,330,6
7067,330,4
9798,331,7
7547,332,5
4646,332,7
516,332,4
3739,332,6
4689,333,6
5488,333,5
4471,334,3
2763,334,5
1455,335,6
5878,335,6
7060,335,8
2724,336,5
7825,336,6
4512,336,5
7665,336,5
5689,336,6
1673,337,5
9627,337,5
6226,337,4
9445,338,5
9637,338,4
7476,339,5
9386,339,5
2975,339,5
6706,339,6
8233,340,5
1279,340,6
6096,340,6
1206,341,6
1334,341,7
369,341,3
2795,342,2
8612,342,4
2877,342,6
7045,343,5
557,343,4
4331,344,5
3839,344,5
8455,345,6
1224,345,5
3616,345,5
7283,346,4
9374,346,5
3083,346,5
499,346,6
9910,346,4
135,346,5
2030,346,6
4774,348,6
1994,349,5
7412,350,5
9707,350,5
2998,352,5
5764,352,4
3447,353,5
6966,353,5
2757,353,5
6039,353,7
2484,354,6
6109,355,6
5721,355,5
273,356,5
802,356,6
207,356,5
1078,356,5
1024,357,3
3379,357,6
6066,358,6
9674,358,4
1987,358,6
3633,359,3
8916,359,6
2007,360,5
3680,361,5
978,361,4
602,362,5
3489,362,4
1629,362,4
5153,362,4
2617,364,5
9622,364,4
7808,364,5
3659,364,5
4083,364,5
3356,365,5
202,365,5
8751,366,5
342,366,5
9580,366,4
5063,366,7
1290,366,4
5639,366,5
3805,366,5
1240,367,4
2874,367,6
9629,367,4
7555,367,4
251,367,6
5608,368,5
2914,368,5
5395,369,6
3053,369,5
3149,369,5
4686,369,5
4394,369,6
2150,369,4
6304,370,5
9212,370,6
3566,370,4
1313,371,5
8557,372,5
4177,372,5
3740,373,3
2097,374,5
3926,374,4
5064,374,4
5202,374,7
9042,374,4
1488,374,5
856,375,5
1163,375,4
6237,375,5
7480,375,4
9987,375,5
8238,376,4
224,376,3
9776,376,3
9889,376,5
1943,376,6
3066,377,5
4658,377,5
5485,377,5
4574,377,3
7085,378,4
9188,378,2
762,379,5
9236,379,4
5848,379,5
5679,379,6
9734,380,5
4270,380,5
6398,381,4
9157,382,6
5979,382,5
2666,382,6
2119,383,5
1448,383,4
2553,383,6
8222,383,4
56,384,5
179,384,6
8581,384,3
9803,384,5
3756,385,6
3281,385,4
4645,386,7
4294,386,5
2349,386,6
3670,386,4
7482,386,6
7832,386,5
9488,386,5
4019,387,5
6279,387,5
2011,387,5
2183,387,5
3961,387,6
7941,388,5
7775,388,5
5968,388,4
6131,388,5
4325,388,5
1458,389,6
1269,389,5
9199,390,4
9620,390,7
2965,390,6
5834,390,6
7106,390,4
7381,390,5
8879,390,5
3382,390,6
2220,391,5
2158,391,5
9045,391,5
2232,391,6
7072,391,4
4660,392,4
1133,392,6
2782,392,4
9762,393,7
109,393,5
6983,393,5
161,394,5
386,394,7
6836,394,4
4547,394,4
2491,395,4
1085,395,5
2036,395,4
4286,395,6
4748,395,5
6660,395,7
6115,395,5
9669,396,5
1873,396,6
3790,396,4
9264,396,5
3227,397,4
8599,397,5
9948,397,4
1201,397,5
1520,397,4
7557,398,6
8505,398,6
8784,398,7
1668,398,5
3749,398,6
7647,399,5
4318,399,5
9802,400,4
1772,400,4
2661,400,4
913,400,6
854,400,7
1698,400,5
6342,400,5
1956,400,5
3774,400,6
6213,400,4
6687,401,7
1316,401,7
5534,401,4
8217,401,6
8527,401,3
9437,401,3
3211,401,4
8685,401,4
8333,402,5
7152,402,5
774,402,5
1312,402,4
6112,402,5
2101,402,4
4086,402,6
2363,402,5
1215,403,5
4339,403,4
7609,403,6
458,403,5
2786,403,3
3867,403,7
8735,403,5
1812,403,4
5147,403,6
1005,403,4
3386,404,3
8605,404,4
9331,404,5
2002,404,3
8254,404,5
5565,404,5
1328,405,4
7023,405,6
7939,405,4
304,405,5
930,405,5
3417,406,4
3687,406,4
3515,406,5
6435,407,5
90,407,5
9834,407,5
4514,407,5
1447,407,6
7082,407,5
4058,408,4
9185,408,5
1345,408,4
6989,408,4
8974,408,5
1742,408,4
8706,409,5
8853,409,4
5077,409,6
1417,410,3
6689,410,6
8746,410,5
4476,410,6
7445,410,6
351,410,4
4485,410,4
9705,411,5
5644,411,6
185,411,6
2525,411,6
4085,412,5
7430,412,5
9685,412,5
5323,412,5
9228,412,4
2498,413,6
6574,413,5
8958,413,5
3241,413,7
6013,413,5
8634,413,4
7933,413,6
1992,413,4
3595,413,5
3654,413,5
91,413,5
9375,413,6
483,414,3
2329,414,7
1491,414,3
5457,414,5
1529,414,6
1913,415,5
2945,415,5
771,415,4
5211,415,5
3753,415,6
3876,415,4
8806,415,7
916,415,7
8943,416,7
5315,416,5
4258,417,5
2316,417,4
4744,417,6
6354,417,6
2335,417,6
6909,417,5
4084,418,3
750,418,5
2726,418,6
2589,418,5
5140,418,5
942,418,6
1212,418,7
1554,418,8
703,419,5
2148,419,6
9277,419,5
2236,419,4
6679,420,5
3513,420,4
6141,420,5
359,420,6
8495,420,5
850,420,6
1108,420,6
279,421,4
3442,421,6
4131,421,4
3955,421,5
9447,421,6
4265,422,7
329,422,5
8687,422,6
1587,422,6
1775,422,5
4333,422,6
7729,423,4
5794,423,6
1902,423,4
3793,423,5
4044,424,5
3744,424,4
9145,424,5
5759,424,6
6309,424,6
3897,424,4
9062,424,6
2162,425,4
412,425,6
5742,425,5
58,425,3
3067,425,5
6314,425,5
1490,426,7
3748,426,4
2400,426,5
106,426,5
5861,427,5
1882,427,5
7333,427,4
1918,427,5
7426,427,6
8072,427,5
5072,428,5
4111,428,5
7250,428,5
9522,428,5
311,428,6
5143,428,3
4556,428,6
2299,429,6
9009,429,5
49,430,6
2279,430,5
2817,430,4
1524,430,5
6387,430,6
8877,430,5
3087,430,7
893,431,5
7097,431,5
6674,431,6
8239,432,6
8409,432,4
783,432,7
9507,432,4
1977,432,5
439,433,6
1869,433,5
3324,433,4
717,433,7
4222,434,5
6367,434,5
427,434,4
551,434,5
5944,434,5
2490,434,6
8525,434,5
4206,434,5
5296,434,5
6160,434,6
7713,435,7
8913,435,6
3206,435,5
3658,435,5
945,435,4
1692,435,6
3330,435,4
2277,435,5
3474,435,6
8747,436,5
387,436,5
7750,436,5
4281,436,5
9494,436,4
2596,437,4
3402,437,5
4449,437,6
9937,437,4
3060,437,4
5206,437,4
4088,437,6
9901,437,6
8949,437,5
2812,437,5
1268,437,6
5560,438,5
9958,438,4
639,438,5
4535,438,6
8357,438,5
5533,439,4
5770,439,4
4097,439,6
5975,439,5
7925,439,5
920,439,6
3122,439,7
7439,439,5
2185,440,6
8294,440,7
3270,440,6
7976,440,5
2252,441,5
3300,441,5
7682,441,5
4108,441,6
6518,441,5
7811,441,6
31,441,5
3638,441,6
2942,441,5
3798,441,4
7771,441,5
3946,441,5
509,442,4
9912,442,6
5574,442,4
2371,442,5
8915,442,5
690,442,5
